'em	ah m #1
ambulance	ae m b y uh l ah n s
american	ah m eh r ih k ih n
ammo	ae m ow
amoebas	ah m iy b ah z
among	ah m ah ng
amorist	ae m aa r ih s t
amount	ah m aw n t #1
amounts	ah m aw n t s
ample	ae m p l
an	ae n #1
anaesthesia	ae n ih s th iy sh ah
analysis	ah n ae l ih s ih s
analyticity	ae n ah l ih t ih s ih t iy
anarchy	ae n er k iy
anatomical	ae n ih t aa m ih k l
anchor	ae ng k er
ancient	ey n sh ih n t
and	ae n d #1
andrei's	ae n d r ey z
anecdotal	ae n eh k d ow t l
anger	ae ng g er
angora	ae ng g aa r ah
angrily	ae ng g r ah l iy
angry	ae ng g r iy
angular	ae ng g y uh l er
animal	ae n ih m l #1
animals	ae n ih m l z
ankle	ae ng k l
announcing	ah n aw n s ih ng
annoying	ah n oy ih ng
annual	ae n y uw l
anonymous	ah n aa n ah m ah s
another	ah n ah dh er
answer	ae n s er #1
answered	ae n s er d
answers	ae n s er z
ant	ae n t #1
antagonistic	ae n t ae g ah n ih s t ih k
antarctic	ae n t aa r k t ih k
antelope	ae n t ah l ow p
anti-	ae n t ay #1
anti-infective	ae n t ay ih n f eh k t ih v
anti-slavery	ae n t ay s l ey v er iy
anticipated	ae n t ih s ah p ey t ih d
antigen	ae n t ih jh ih n
antiseptic	ae n t ih s eh p t ih k
antithesis	ae n t ih th ih s ih s
ants	ae n t s
anxiety	ae ng z ay ih t iy
any	eh n iy #1
anybody	eh n iy b aa d iy
anyhow	eh n iy hh aw
anyone	eh n iy w ah n #1
anyone's	eh n iy w ah n z
anything	eh n iy th ih ng
anyway	eh n iy w ey
apartments	ah p aa r t m ah n t s
apology	ah p aa l ah jh iy
apparently	ah p ae r ah n t l iy
appealing	ah p iy l ih ng
appear	ah p ih r #1
appearance	ah p ih r ah n s
appeared	ah p ih r d
appears	ah p ih r z
appetite	ae p ah t ay t #1
appetites	ae p ah t ay t s
appetizers	ae p ah t ay z er z
apple	ae p l #1
apples	ae p l z
appliances	ah p l ay ih n s ih z
applicability	ae p l ih k ah b ih l ih t iy
application	ae p l ih k ey sh ih n #1
applications	ae p l ih k ey sh ih n z
applied	ah p l ay d
applies	ah p l ay z
apply	ah p l ay #1
applying	ah p l ay ih ng
appointed	ah p oy n t ih d
appointment	ah p oy n t m ah n t
appraisal	ah p r ey z l
appreciate	ah p r iy sh iy ey t #1
appreciated	ah p r iy sh iy ey t ih d
appreciatively	ah p r iy sh ih t ih v l iy
approach	ah p r ow ch #1
approached	ah p r ow ch t
appropriate	ah p r ow p r iy ah t
approval	ah p r uw v l
approved	ah p r uw v d
approvingly	ah p r uw v ih ng l iy
approximated	ah p r aa k s ih m ey t ih d
approximation	ah p r aa k s ih m ey sh ih n
aprons	ey p r ah n z
aptitude	ae p t ih t uw d
aquatic	ah k w aa t ih k
arbitrary	aa r b ah t r eh r iy
arbitrate	aa r b ah t r ey t
arboreal	aa r b aa r iy l
arc	aa r k #1
arcade	aa r k ey d
archeological	aa r k iy ah l aa jh ih k l
are	aa r #1
area	ae r iy ah #1
areas	ae r iy ah z
aren't	aa r n t
argue	aa r g y uw #1
argued	aa r g y uw d
argument	aa r g y uw m ah n t
arise	ah r ay z #1
arises	ah r ay z ih z
aristocratic	ah r ih s t ih k r ae t ih k
arm	aa r m #1
armchair	aa r m ch ae r
armed	aa r m d
arms	aa r m z
army	aa r m iy
arose	ah r ow z
around	ah r aw n d
arrange	ah r ey n jh #1
arranged	ah r ey n jh d
arrival	ah r ay v l
arrive	ah r ay v #1
arrived	ah r ay v d
arriving	ah r ay v ih ng
art	aa r t #1
article	aa r t ih k l
articulation	aa r t ih k y uh l ey sh ih n
artificial	aa r t ih f ih sh l
artist	aa r t ih s t #1
artistic	aa r t ih s t ih k
artists	aa r t ih s t s
as	ae z #1
ashamed	ah sh ey m d
ashtray	ae sh t r ey
aside	ah s ay d
ask	ae s k #1
asked	ae s k t
asleep	ah s l iy p
aspect	ae s p eh k t #1
aspects	ae s p eh k t s
assail	ah s ey l
assassin	ah s ae s ih n
assaults	ah s aa l t s
assembled	ah s eh m b l d
assembling	ah s eh m b l ih ng
assert	ah s er t
assign	ah s ay n #1
assignment	ah s ay n m ah n t
assistance	ah s ih s t n s
assistant	ah s ih s t ih n t
associated	ah s ow s iy ey t ih d
associates	ah s ow s iy ey t s
associations	ah s ow s iy ey sh ih n z
assume	ah s uw m #1
assumed	ah s uw m d
assure	ah sh uh r #1
assured	ah sh uh r d
assuredly	ah sh uh r ah d l iy
assures	ah sh uh r z
assuring	ah sh uh r ih ng
asthma	ae z m ah
astonishingly	ah s t aa n ih sh ih ng l iy
astronomy	ah s t r aa n ah m iy
astrophysics	ae s t r ah f ih z ih k s
at	ae t #1
ate	ey t #1
atheists	ey th iy ih s t s
athletic	ae th l eh t ih k
atmosphere	ae t m ah s f ih r
atomic	ah t aa m ih k
atoms	ae t m z
atop	ah t aa p
attach	ah t ae ch
attack	ah t ae k #1
attacked	ah t ae k t
attempted	ah t eh m p t ih d
attendance	ah t eh n d ih n s
attendants	ah t eh n d eh n t s
attention	ah t eh n sh ih n
attitude	ae t ih t uw d
attracted	ah t r ae k t ih d
attractive	ah t r ae k t ih v
attributed	ae t r ih b y uh t ih d
atypical	ey t ih p ih k l
auburn	aa b er n
audience	aa d iy ah n s
audio	aa d iy ow #1
audio-visual	aa d iy ow v ih sh uw l
audition	aa d ih sh ih n
auditors	aa d ih t er z
auditory	aa d ih t aa r iy
audits	aa d ih t s
augmented	aa g m eh n t ih d
aunt	ae n t #2
austere	aa s t ih r
author	aa th er #1
author's	aa th er z
authorities	ah th aa r ih t iy z
authority	ah th aa r ih t iy #1
authorization	aa th er ih z ey sh ih n
authorized	aa th er ay z d
autistic	aa t ih s t ih k
autofluorescence	aa t ow f l uh r eh s n s
autographs	aa t ih g r ae f s
automatic	aa t ah m ae t ih k
automobile	aa t ah m ow b iy l
autonomy	aa t aa n ah m iy
autumn	aa t m
available	ah v ey l ih b l
avalanche	ae v ah l ae n ch
average	ae v r ih jh
avocado	ae v ah k aa d ow #1
avocados	ae v ah k aa d ow z
avoid	ah v oy d #1
avoided	ah v oy d ih d
avoiding	ah v oy d ih ng
avowed	ah v aw d
aw	aa #1
awards	ah w aa r d z
aware	ah w ae r
away	ah w ey
awe	aa #2
awe-inspiring	aa ih n s p ay er ih ng
awkward	aa k w er d
awoke	ah w ow k
axis	ae k s ih s
babbled	b ae b l d
baboon's	b ae b uw n z
back	b ae k #1
backed	b ae k t #1
backgrounds	b ae k g r aw n d z
backward	b ae k w er d z
backyards	b ae k y aa r d z
bacteria	b ae k t ih r iy ah
bad	b ae d #1
badness	b ae d n ih s
baffle	b ae f l
bag	b ae g #1
bagpipes	b ae g p ay p s
bags	b ae g z
bake	b ey k
balance	b ae l ih n s
bale	b ey l #1
baleful	b ey l f l
ball	b aa l #1
ballet	b ae l ey #1
ballets	b ae l ey z
balloons	b ah l uw n z
ballplayer	b aa l p l ey er
balls	b aa l z
ballyhoo	b ae l iy hh uw
bandaged	b ae n d ih jh d
bandages	b ae n d ih jh ih z
bank	b ae ng k #1
bankers	b ae ng k er z
banks	b ae ng k s
barb	b aa r b #1
barb's	b aa r b z
barbaric	b aa r b ae r ih k
barbecue	b aa r b ih k y uw
barbed	b aa r b d
bare	b ae r #1
barely	b ae r l iy
bargains	b aa r g ih n z
bark	b aa r k
barley	b aa r l iy
barn	b aa r n #1
barometric	b ae r ah m eh t r ih k
barracuda	b ae r ah k uw d ah
barrels	b ae r l z
barricades	b ae r ah k ey d z
barriers	b ae r iy er z
base	b ey s #1
baseball	b ey s b aa l #1
baseball's	b ey s b aa l z
based	b ey s t
basic	b ey s ih k
basis	b ey s ih s
basketball	b ae s k ih t b aa l
bath	b ae th #1
bathe	b ey dh #1
bathing	b ey dh ih ng
baths	b ae th s
bathtubs	b ae th t ah b z
battery	b ae t er iy #1
battery-powered	b ae t er iy p aw er d
batting	b ae t ih ng
bay	b ey #1
bayed	b ey d
bayonet	b ey ah n eh t
bayou	b ay uw
bazaar	b ah z aa r #1
be	b iy #1
beach	b iy ch
beans	b iy n z
beard	b ih r d
beat	b iy t #1
beatniks	b iy t n ih k s
beautiful	b y uw t ih f l
beautifully	b y uw t ih f ah l iy
beauty	b y uw t iy
becalmed	b ih k aa m d
became	b ih k ey m
because	b ih k aa z
beckons	b eh k ih n z
become	b ih k ah m #1
becomes	b ih k ah m z
becoming	b ih k ah m ih ng
bed	b eh d #1
bedlam	b eh d l ah m
bedroom	b eh d r uw m #1
bedrooms	b eh d r uw m z
beds	b eh d z
beefsteak	b iy f s t ey k
been	b ih n #1
beep	b iy p
beer	b ih r #1
beers	b ih r z
before	b ah f aa r
beg	b eh g #1
began	b iy g ae n
beggar	b eh g er
begin	b ah g ih n #1
beginning	b ah g ih n ih ng
begins	b ah g ih n z
behaved	b ih hh ey v d
behavior	b ih hh ey v y er
behind	b ah hh ay n d
being	b iy ih ng
belched	b eh l ch t
believe	b ah l iy v #1
believed	b ah l iy v d
bellhops	b eh l hh aa p s
bellows	b eh l ow z
bells	b eh l z
belong	b ah l aa ng #1
belongs	b ah l aa ng z
beloved	b ah l ah v ah d
below	b ah l ow
belt	b eh l t
bench	b eh n ch
beneath	b ih n iy th
benefit	b eh n ah f ih t #1
benefits	b eh n ah f ih t s
bequests	b ih k w eh s t s
bereft	b er eh f t
beside	b ah s ay d #1
besides	b ah s ay d z
best	b eh s t
bet	b eh t #1
betide	b ah t ay d
betrayed	b iy t r ey d
better	b eh t er
between	b ah t w iy n
beverage	b eh v r ih jh #1
beverages	b eh v r ih jh ih z
beyond	b iy aa n d
biased	b ay ih s t
biblical	b ih b l ih k l
bibliographies	b ih b l iy aa g r ah f iy z
bickering	b ih k er ih ng
bidding	b ih d ih ng
big	b ih g #1
bigger	b ih g er
bike	b ay k
bill	b ih l #1
billowed	b ih l ow d
bills	b ih l z
binomial	b ay n ow m iy l
biological	b ay ah l aa jh ih k l
biologists	b ay aa l ah jh ih s t s
biology	b ay aa l ah jh iy
biracial	b ay r ey sh l
birds	b er d z
birth	b er th #1
birthday	b er th d ey
biscuit	b ih s k ih t
bit	b ih t #1
bites	b ay t s
bitter	b ih t er
bivouac	b ih v w ae k
bizarre	b ah z aa r #2
black	b l ae k #1
blackened	b l ae k ih n d
blame	b l ey m
blank	b l ae ng k #1
blankets	b l ae ng k ih t s
blasphemous	b l ae s f ah m ah s
blastdown	b l ae s t d aw n
bleachers	b l iy ch er z
blend	b l eh n d
bleu	b l uw #1
blew	b l uw #2
blindness	b l ay n d n ih s
blissful	b l ih s f l
blistered	b l ih s t er d
blitz	b l ih t s
bloat	b l ow t
block	b l aa k #1
blockade	b l aa k ey d
blocks	b l aa k s
blonde	b l aa n d
blooded	b l ah d ih d
blouses	b l aw s ih z
blow	b l ow #1
blowers	b l ow er z
blowing	b l ow ih ng
blue	b l uw #3
bluejay	b l uw jh ey
blues	b l uw z
bluffs	b l ah f s
bluing	b l uw ih ng
bluish	b l uw ih sh
blunt	b l ah n t #1
bluntly	b l ah n t l iy
board	b aa r d #1
boardinghouses	b aa r d ih ng hh aw z ih z
boat	b ow t #1
boat's	b ow t s
bob	b aa b #1
bobby	b aa b iy
bobcat	b aa b k ae t
bodied	b aa d iy d
bodies	b aa d iy z
body	b aa d iy #1
bog	b aa g #1
bogged	b aa g d
boil	b oy l #1
boiling	b oy l ih ng
bold	b ow l d
bolt	b ow l t
bomb	b aa m #1
bombs	b aa m z
bone	b ow n #1
bones	b ow n z
bonfire	b aa n f ay er
bongos	b aa ng g ow z
book	b uh k #1
books	b uh k s
boom	b uw m #1
boomerang	b uw m er ae ng
boost	b uw s t
bootleggers	b uw t l eh g er z
boots	b uw t s
bored	b aa r d #2
boring	b aa r ih ng
born	b aa r n #2
borrow	b aa r ow
boss	b aa s #1
boston	b aa s t n
both	b ow th
bother	b aa dh er #1
bothers	b aa dh er z
bottle	b aa t l
bottom	b aa t m #1
bottomed	b aa t m d
bought	b aa t #1
bounce	b aw n s
bounded	b aw n d ih d
bounds	b aw n d z
bourgeois	b uh r sh w aa
bowl	b ow l #1
box	b aa k s
boy	b oy #1
boy's	b oy z #1
boys	b oy z #2
bracelet	b r ey s l ih t
braiding	b r ey d ih ng
brain	b r ey n
brakes	b r ey k s
branch	b r ae n ch
brand	b r ae n d
brave	b r ey v
bread	b r eh d
break	b r ey k #1
breakdown	b r ey k d aw n
breakfast	b r eh k f ih s t
breaking	b r ey k ih ng
breast	b r eh s t
breath	b r eh th #1
breathed	b r iy dh d
breathlessly	b r eh th l ah s l iy
breed	b r iy d
breeze	b r iy z
brick	b r ih k #1
bricks	b r ih k s
bridal	b r ay d l
bride	b r ay d #1
bride's	b r ay d z
bridge	b r ih jh #1
bridges	b r ih jh ih z
brief	b r iy f #1
briefly	b r iy f l iy
bright	b r ay t #1
brighter	b r ay t er
brightly	b r ay t l iy
brim	b r ih m
bring	b r ih ng #1
brings	b r ih ng z
bristles	b r ih s l z
broccoli	b r aa k ah l iy
brochure	b r ow sh uh r
broil	b r oy l
broke	b r ow k #1
broken	b r ow k ih n
bronc	b r aa ng k
brother	b r ah dh er #1
brother's	b r ah dh er z
brought	b r aa t
brown	b r aw n
brows	b r aw z
bruises	b r uw z ih z
brush	b r ah sh #1
brushy	b r ah sh iy
bubbles	b ah b l z
buckle	b ah k l
buddies	b ah d iy z
buddy	b ah d iy #1
buff	b ah f #1
buffalo	b ah f ah l ow
bugeyed	b ah g ay d
bugged	b ah g d
bugle	b y uw g l
build	b ih l d #1
builders	b ih l d er z
building	b ih l d ih ng #1
buildings	b ih l d ih ng z
built	b ih l t
bulged	b ah l jh d
bull	b uh l #1
bull-like	b uh l l ay k
bullet	b uh l ih t #1
bullets	b uh l ih t s
bum	b ah m #1
bump	b ah m p
bungalow	b ah ng g ah l ow
bunks	b ah ng k s
buns	b ah n z
bureaucracy	b y er aa k r ih s iy
burglar	b er g l er
burn	b er n #1
burned	b er n d
burner	b er n er
burning	b er n ih ng
burst	b er s t #1
bursting	b er s t ih ng
bury	b eh r iy
bus	b ah s #1
bushel	b uh sh l
business	b ih z n ih s
busy	b ih z iy
but	b ah t #1
butcher	b uh ch er
butter	b ah t er #1
butterfly	b ah t er f l ay
butterscotch	b ah t er s k aa ch
buttonholes	b ah t n hh ow l z
buttons	b ah t n z
buy	b ay #1
buyer	b ay er
buying	b ay ih ng
buys	b ay z
buzz	b ah z #1
buzzing	b ah z ih ng
by	b ay #2
c'mon	k ah m aa n
cab	k ae b #1
cabinets	k ae b ih n ih t s
cable	k ey b l
cafe	k ae f ey
cafeteria	k ae f ah t ih r iy ah
cage	k ey jh
calcium	k ae l s iy ah m
calendar	k ae l ih n d er #1
calendars	k ae l ih n d er z
calf	k ae f #1
calico	k ae l ih k ow
call	k aa l #1
called	k aa l d
calling	k aa l ih ng
calls	k aa l z
calm	k aa m #1
came	k ey m
cameo	k ae m iy ow
camera	k ae m er ah
camp	k ae m p #1
camping	k ae m p ih ng
campus	k ae m p ah s
can	k ae n #1
can't	k ae n t #1
candies	k ae n d iy z
candles	k ae n d l z
candy	k ae n d iy #1
canister	k ae n ih s t er
canned	k ae n d #1
cannot	k ae n aa t
canoes	k ah n uw z
cantaloupe	k ae n t ah l ow p
canteen	k ae n t iy n
canter	k ae n t er
cap'n	k ae p n
capable	k ey p ah b l
capillary	k ae p ah l eh r iy
capital	k ae p ih t l #1
capitalists	k ae p ih t l ih s t s
capitalize	k ae p ah t ah l ay z
capsule	k ae p s l
captain	k ae p t ih n
captured	k ae p ch er d
car	k aa r #1
car's	k aa r z #1
caraway	k ae r ah w ey
cardboard	k aa r d b aa r d
cards	k aa r d z
care	k ae r #1
carefree	k ae r f r iy
careful	k ae r f l
carefully	k ae r f uh l iy
carl	k aa r l
carol	k ae r l
carpenter	k aa r p ah n t er
carpet	k aa r p ah t
carriage	k ae r ih jh
carried	k ae r iy d
carries	k ae r iy z
carry	k ae r iy #1
carrying	k ae r iy ih ng
cars	k aa r z #2
cart	k aa r t #1
cartilage	k aa r t l ih jh
cartoon	k aa r t uw n #1
cartoons	k aa r t uw n z
carved	k aa r v d
case	k ey s #1
cases	k ey s ih z
cash	k ae sh #1
cashmere	k ae sh m ih r
cassandra	k ah s ae n d r ah
cast	k ae s t #1
castor	k ae s t er
castorbeans	k ae s er b iy n z
casual	k ae sh uw l
casually	k ae sh uw ah l iy
cat	k ae t #1
cat's	k ae t s #1
catastrophic	k ae t ih s t r aa f ih k
catch	k ae ch
categories	k ae t ah g aa r iy z
catkins	k ae t k ih n z
cats	k ae t s #2
cattle	k ae t l
caught	k aa t #1
cauliflower	k aa l ih f l aw er
caused	k aa z d
causes	k aa z ih z
causeway	k aa z w ey
caution	k aa sh ih n
cavity	k ae v ah t iy
cease	s iy s #1
cease-fire	s iy s f ay er
ceiling	s iy l ih ng
celebrate	s eh l ih b r ey t #1
celebrates	s eh l ih b r ey t s
cellophane	s eh l ah f ey n
cells	s eh l z
cement	s ih m eh n t
censorship	s eh n s er sh ih p
census	s eh n s ih s
cent	s eh n t #1
centered	s eh n t er d
centering	s eh n t er ih ng
central	s eh n t r l
centre	s eh n t er #1
centrifuge	s eh n t r ah f y uw jh
cents	s eh n t s
centuries	s eh n ch er iy z
century	s eh n ch er iy #1
ceramic	s er ae m ih k
cereal	s ih r iy l
cerebral	s er iy b r ah l
certain	s er t n #1
certainly	s er t n l iy
chablis	sh ae b l iy
chain	ch ey n #1
chair	ch ae r #1
chairs	ch ae r z
challenge	ch ae l ih n jh #1
challenged	ch ae l ih n jh d
chamber	ch ey m b er
chance	ch ae n s
change	ch ey n jh #1
changed	ch ey n jh d
changes	ch ey n jh ih z
changing	ch ey n jh ih ng
chaos	k ey aa s
character	k ae r ah k t er #1
characteristics	k ae r ah k t er ih s t ih k s
characters	k ae r ah k t er z
charge	ch aa r jh #1
charged	ch aa r jh d
charlie's	ch aa r l iy z
charm	ch aa r m #1
charmer	ch aa r m er
chart	ch aa r t #1
chases	ch ey s ih z
chasing	ch ey s ih ng
chastity	ch ae s t ih t iy
chattering	ch ae t er ih ng
chauffeur	sh ow f er #1
chauffeur-driven	sh ow f er d r ih v n
chaw	ch aa #1
cheap	ch iy p
cheating	ch iy t ih ng
check	ch eh k #1
checked	ch eh k t
cheek	ch iy k
cheese	ch iy z
cheetal	ch iy t l
chemical	k eh m ih k l #1
chemicals	k eh m ih k l z
chest	ch eh s t #1
chestnuts	ch eh s n ah t s
chests	ch eh s t s
chew	ch uw #1
chicken	ch ih k ih n
chief	ch iy f #1
chiefly	ch iy f l iy
child	ch ay l d #1
childhood	ch ay l d hh uh d
children	ch ih l d r ah n
chilled	ch ih l d #1
chills	ch ih l z
chip	ch ih p #1
chipper	ch ih p er
chives	ch ay v z
chloride	k l aa r ay d
chlorine	k l aa r iy n
chocolate	ch aa k l ih t
choices	ch oy s ih z
choir	k w ay er
choke	ch ow k
choose	ch uw z #1
choosing	ch uw z ih ng
chop	ch aa p #1
chopped	ch aa p t
choreographer	k aa r iy aa g r ah f er
chortled	ch aa r t l d
chorused	k aa r ih s t
chose	ch ow z #1
chosen	ch ow z n
chrome	k r ow m
chroniclers	k r aa n ih k l er z
chronological	k r aa n ah l aa jh ih k l
chronologically	k r aa n ah l aa jh ih k ah l iy
chuck	ch ah k #1
chuckled	ch ah k l d
church	ch er ch
cigar	s ih g aa r
cigarette	s ih g er eh t #1
cigarettes	s ih g er eh t s
cinch	s ih n ch
cinematic	s ih n ah m ae t ih k
circle	s er k l #1
circled	s er k l d
circumstances	s er k ah m s t ae n s ih z
citizen	s ih t ih z ih n #1
citizenship	s ih t ih z ih n sh ih p
city	s ih t iy
civil	s ih v l #1
civilian	s ah v ih l y ah n
civilization	s ih v l ah z ey sh ih n
civilized	s ih v l ay z d
claimed	k l ey m d
clamp	k l ae m p
clams	k l ae m z
clamshell	k l ae m sh eh l
clapping	k l ae p ih ng
clarification	k l ae r ah f ah k ey sh ih n
clarified	k l ae r ah f ay d
clarify	k l ae r ah f ay #1
clashed	k l ae sh t
clasp	k l ae s p #1
clasped	k l ae s p t
class	k l ae s #1
class-biased	k l ae s b ay ih s t
classical	k l ae s ih k l
classrooms	k l ae s r uw m z
clatter	k l ae t er
clause	k l aa z #1
clay	k l ey #1
clean	k l iy n #1
cleaned	k l iy n d
cleaners	aa l iy n er z
cleaning	k l iy n ih ng
cleans	k l iy n z
clear	k l ih r #1
cleared	k l ih r d
clearer	k l ih r er
clearing	k l ih r ih ng
clearly	k l ih r l iy
clerk's	k l er k s #1
clerks	k l er k s #2
clever	k l eh v er
cliff	k l ih f #1
cliff's	k l ih f s
climates	k l ay m ah t s
climax	k l ay m ae k s
climbed	k l ay m d
climbing	k l ay m ih ng
clinches	k l ih n ch ih z
cling	k l ih ng
clockwork	k l aa k w er k
closer	k l ow s er
closet	k l aa z ih t
close~adj	k l ow s #1
close~v	k l ow z #1
closing	k l ow z ih ng
clot	k l aa t #1
cloth	k l aa th
clothes	k l ow dh z #1
clotheshorse	k l ow dh z hh aa r s
clothing	k l ow dh ih ng
clotted	k l aa t ih d
cloud	k l aw d #1
cloudburst	k l aw d b er s t
clouds	k l aw d z
cloverleaf	aa l ow v er l iy f
club	k l ah b
clumsy	k l ah m z iy
coach	k ow ch
coagulating	k ow ae g y uh l ey t ih ng
coal	k ow l #1
coal-black	k ow l b l ae k
coalition	k ow ah l ih sh ih n
coals	k ow l z
coast	k ow s t
coat	k ow t
coauthors	k ow aa th er z
cobbler's	k aa b l er z
coconut	k ow k ah n ah t #1
coconuts	k ow k ah n ah t s
code	k ow d #1
codes	k ow d z
coeducational	k ow eh jh ih k ey sh ih n l
coexist	k ow ih g z ih s t
coffee	k aa f iy
coffers	k aa f er z
coil	k oy l
coin	k oy n #1
coincided	k ow ih n s ay d ih d
coins	k oy n z
coke	k ow k #1
cold	k ow l d #1
cold-blooded	k ow l d b l ah d ih d
coleslaw	k ow l s l aa
